Year,DOSM-F,DOSM_M
2024,16176,17882.7
2025,16361.1,18115.6
2026,16544.1,18346.2
2027,16725.1,18575.1
2028,16902.8,18799.8
2029,17078.6,19022
2030,17252,19241
2031,17420.6,19454.3
2032,17584.7,19662.2
2033,17742.8,19863.9
2034,17896.1,20059.8
2035,18044.1,20249.2
2036,18186.1,20431.7
2037,18322.7,20607.6
2038,18452.5,20775.5
2039,18576.4,20937.2
2040,18693.9,21091
2041,18806.3,21238.3
2042,18912.8,21377.8
2043,19014.5,21510.8
2044,19110.2,21637.2
2045,19200.7,21756.4
2046,19284.5,21866.8
2047,19363.3,21970.2
2048,19435.5,22065.1
2049,19502.3,22152.5
2050,19562.4,22232.4
2051,19616.1,22303.6
2052,19663.1,22365.5
2053,19705.4,22418.9
2054,19740.8,22462.9
2055,19770.7,22500.4
2056,19793,22527.5
2057,19809.6,22546.5
2058,19819.1,22555.9
2059,19823,22556.6
2060,19820.4,22547.6
2061,,
2062,,
2063,,
