t,x,y,dxdt central,dydt central,,dxdt forward,dydt forward,,dxdt backward,dydt backward
1971,5506.6,5653.3,142.6,137.2,,143.2,138.1,,141.9,136.2
1972,5649.8,5791.4,142.7,137.4,,142.2,136.6,,143.2,138.1
1973,5792,5928,142.7,137.5,,143.1,138.3,,142.2,136.6
1974,5935.1,6066.3,147.5,142.5,,151.9,146.6,,143.1,138.3
1975,6087,6212.9,149.4,144.1,,146.8,141.6,,151.9,146.6
1976,6233.8,6354.5,152.9,147.7,,158.9,153.8,,146.8,141.6
1977,6392.7,6508.3,155.4,150.7,,151.8,147.5,,158.9,153.8
1978,6544.5,6655.8,156.6,152.1,,161.3,156.7,,151.8,147.5
1979,6705.8,6812.5,171.4,168.1,,181.4,179.5,,161.3,156.7
1980,6887.2,6992,181.3,188.1,,181.1,196.6,,181.4,179.5
1981,7068.3,7188.6,185,201.1,,188.8,205.5,,181.1,196.6
1982,7257.1,7394.1,189.7,206,,190.6,206.5,,188.8,205.5
1983,7447.7,7600.6,191.6,208.1,,192.5,209.6,,190.6,206.5
1984,7640.2,7810.2,201,216.3,,209.4,222.9,,192.5,209.6
1985,7849.6,8033.1,212.6,226.9,,215.8,230.9,,209.4,222.9
1986,8065.4,8264,214.6,230.8,,213.3,230.7,,215.8,230.9
1987,8278.7,8494.7,213.9,231,,214.4,231.3,,213.3,230.7
1988,8493.1,8726,213.4,230.8,,212.4,230.4,,214.4,231.3
1989,8705.5,8956.4,212.1,229.6,,211.7,228.8,,212.4,230.4
1990,8917.2,9185.2,212.6,230,,213.5,231.2,,211.7,228.8
1991,9130.7,9416.4,231.7,250.9,,249.8,270.6,,213.5,231.2
1992,9380.5,9687,253.7,273.6,,257.6,276.5,,249.8,270.6
1993,9638.1,9963.5,259.2,278,,260.8,279.5,,257.6,276.5
1994,9898.9,10243,261.1,279.1,,261.4,278.6,,260.8,279.5
1995,10160.3,10521.6,261.7,278.6,,262,278.5,,261.4,278.6
1996,10422.3,10800.1,263.6,280.2,,265.1,281.9,,262,278.5
1997,10687.4,11082,269.7,286,,274.2,290,,265.1,281.9
1998,10961.6,11372,277.7,292.4,,281.1,294.7,,274.2,290
1999,11242.7,11666.7,283.9,296.8,,286.7,298.9,,281.1,294.7
2000,11529.4,11965.6,265.2,295.3,,243.7,291.8,,286.7,298.9
2001,11773.1,12257.4,238.1,285.8,,232.4,279.7,,243.7,291.8
2002,12005.5,12537.1,228.4,275.4,,224.4,271,,232.4,279.7
2003,12229.9,12808.1,228.7,270.8,,232.9,270.7,,224.4,271
2004,12462.8,13078.8,231.3,272.6,,229.6,274.5,,232.9,270.7
2005,12692.4,13353.3,229.8,274.3,,230,274.1,,229.6,274.5
2006,12922.4,13627.4,231.2,275.2,,232.4,276.2,,230,274.1
2007,13154.8,13903.6,233.1,275.9,,233.7,275.5,,232.4,276.2
2008,13388.5,14179.1,234.9,276.7,,236,277.9,,233.7,275.5
2009,13624.5,14457,234.8,275.7,,233.6,273.5,,236,277.9
2010,13858.1,14730.5,228.8,261.5,,223.9,249.5,,233.6,273.5
2011,14082,14980,218.3,242.4,,212.7,235.3,,223.9,249.5
2012,14294.7,15215.3,263.6,312.4,,314.5,389.4,,212.7,235.3
2013,14609.2,15604.7,273,326.4,,231.6,263.3,,314.5,389.4
2014,14840.8,15868,232.5,253.8,,233.3,244.2,,231.6,263.3
2015,15074.1,16112.2,223.2,239.2,,213,234.1,,233.3,244.2
2016,15287.1,16346.3,202.9,215.4,,192.8,196.6,,213,234.1
2017,15479.9,16542.9,186.9,187.5,,181,178.4,,192.8,196.6
2018,15660.9,16721.3,139.1,110.9,,97.2,43.4,,181,178.4
2019,15758.1,16764.7,-89.8,122.5,,-276.9,201.5,,97.2,43.4
2020,15481.2,16966.2,-91.1,117.9,,94.7,34.3,,-276.9,201.5
2021,15575.9,17000.5,88.5,36.8,,82.4,39.3,,94.7,34.3
2022,15658.3,17039.8,176.8,236,,271.2,432.6,,82.4,39.3
2023,15929.5,17472.4,258.9,421.6,,246.5,410.5,,271.2,432.6
